Prix,Annee,Auto_manuel,Carburant,Marque,Module,Nombre de portes,Première main,Etat,Kilometrage,Puissance_fiscale
174000,2023,Manuelle,diesel,Peugeot,208,5,Oui,Très bon,42499,6
174000,2023,Manuelle,diesel,Peugeot,208,5,Oui,Très bon,42499,6
194000,2022,Automatique,diesel,Dacia,Duster,5,Oui,Très bon,92499,7
278000,2022,Automatique,diesel,Kia,Sportage,5,Oui,Très bon,77499,6
139000,2023,Manuelle,diesel,Fiat,Fiorino,5,Oui,Très bon,37499,5
260000,2018,Automatique,diesel,Audi,A3,5,Non,Très bon,194999,8
185000,2023,Manuelle,diesel,Opel,Corsa,5,Oui,Excellent,12499,6
162000,2022,Manuelle,diesel,Renault,Clio,5,Oui,Très bon,72499,6
39000,2002,Manuelle,essence,Volkswagen,Passat,5,Non,Excellent,194999,11
155000,2023,Manuelle,diesel,Renault,Express,5,Oui,Très bon,67499,6
139000,2022,Manuelle,diesel,Peugeot,301,5,Oui,Très bon,47499,6
38000,2018,Automatique,diesel,BMW,Série 6,5,Oui,Excellent,144999,10
379000,2023,Automatique,diesel,Volkswagen,Tiguan,5,Oui,Très bon,42499,6
195000,2023,Manuelle,diesel,Opel,Crossland,5,Oui,Très bon,47499,6
146000,2023,Manuelle,diesel,Dacia,Sandero,5,Oui,Très bon,47499,6
169000,2023,Manuelle,diesel,Renault,Clio,5,Oui,Très bon,52499,6
95000,2016,Manuelle,essence,Peugeot,208,3,Non,Excellent,92499,8
200000,2024,Automatique,essence,Seat,Ibiza,5,Oui,Excellent,17499,6
128000,2023,Manuelle,diesel,Peugeot,301,5,Oui,Bon,87499,6
132000,2021,Manuelle,diesel,Renault,Clio,5,Oui,Très bon,134999,6
32000,2003,Manuelle,diesel,Ford,Mondeo,5,Non,Très bon,324999,8
95000,2010,Manuelle,diesel,Volkswagen,Touareg,5,Non,Excellent,194999,10
150000,2021,Manuelle,diesel,Peugeot,208,5,Oui,Très bon,52499,7
238000,2021,Manuelle,diesel,Renault,Master,5,Non,Bon,124999,9
189000,2017,Manuelle,diesel,Volkswagen,Golf 7,5,Oui,Excellent,67499,8
145000,2023,Manuelle,diesel,Dacia,Sandero,5,Non,Excellent,97499,6
128000,2015,Manuelle,diesel,Peugeot,308,5,Non,Très bon,144999,6
289000,2022,Automatique,diesel,Seat,Ateca,5,Oui,Très bon,67499,8
72000,2008,Manuelle,essence,Honda,Jazz,5,Non,Très bon,134999,8
185000,2013,Automatique,diesel,Land Rover,Range Rover Evoque,5,Non,Excellent,104999,8
390000,2020,Automatique,diesel,Jeep,Wrangler,5,Oui,Excellent,104999,9
335000,2023,Automatique,diesel,Hyundai,Tucson,5,Oui,Excellent,2499,6
98000,2016,Manuelle,diesel,Renault,Fluence,5,Oui,Bon,154999,6
265000,2017,Automatique,diesel,Mercedes-Benz,Classe C,5,Oui,Très bon,154999,8
139000,2024,Manuelle,diesel,Dacia,Sandero,5,Oui,Excellent,42499,6
255000,2018,Automatique,diesel,Volvo,XC40,3,Oui,Excellent,104999,8
110000,2016,Automatique,hybride,Toyota,Yaris,3,Oui,Excellent,134999,6
320000,2018,Automatique,diesel,Mercedes-Benz,Classe GLE,5,Non,Excellent,154999,9
148000,2023,Manuelle,diesel,Hyundai,Accent,5,Oui,Très bon,72499,6
